ID,Product Name,Brand,Color,Category,Price (CAD),Material,Style,Fit,Link
1,Nike Strike Men's Dri-FIT Short-Sleeve Football Top,Nike,Black,Shirts,55,Polyester,Sport,Slim,https://www.nike.com/ca/t/strike-dri-fit-short-sleeve-football-top-DFnTwg/FN2399-010
2,Printed Cotton Jersey T-shirt,GUCCI,Pink,Shirts,1100,Cotton,Casual,Standard,https://media.gucci.com/style/DarkGray_Center_0_0_800x800/1735928152/798115_XJG7Y_5139_001_100_0000_Light-Printed-cotton-jersey-T-shirt.jpg
3,Slim Fit Cargo Joggers,H&M,Black,Pants,49.99,Cotton,Sport,Slim,https://www2.hm.com/en_ca/productpage.1261665001.html
4,Modal Open Collar Short Sleeve Shirt,UNIQLO,Green,Shirts,49.9,Modal,Casual,Oversized,https://www.uniqlo.com/ca/en/products/E464938-000?colorCode=COL00&sizeCode=SMA002
5,Mens Classic T-shirt,SKIMS,White,Shirts,74.00,Cotton,Loungewear,Standard,https://skims.com/en-ca/products/skims-cotton-mens-classic-t-shirt-chalk
